Start	End	Chromosome	Name
128877	129029	KI270733.1	RNA5-8SN4
173956	174108	KI270733.1	5_8S_rRNA
122136	122225	KI270733.1	
52895	53010	KI270721.1	
52666	52734	KI270721.1	
2585	11802	KI270721.1	
51722	51792	KI270721.1	
93050	93150	GL000205.2	Y_RNA
93197	93309	GL000216.2	U2
183252	183364	GL000225.1	U2
41444	41876	KI270726.1	
26241	26534	KI270726.1	
8280198	8282209	Y	TSPY24P
7853686	7854876	Y	ZNF92P1Y
9610571	9621276	Y	RBMY3AP
4801685	4802848	Y	SERBP1P2
7687739	7689548	Y	TSPY12P
10070131	10070409	Y	
11332329	11333595	Y	DUX4L19
7803996	7810683	Y	TTTY12
9706824	9715262	Y	TTTY7B
14941746	14942715	Y	
9030594	9039988	Y	OFD1P3Y
7671743	7676024	Y	RBMY2HP
8517364	8517748	Y	
22439593	22441458	Y	TTTY6
17464879	17465214	Y	ELOCP35
11340579	11385687	Y	SLC9B1P1
3682805	3683868	Y	USP12PY
9910798	9911962	Y	TTTY23
20570222	20570519	Y	KDM5DP1
6449468	6457906	Y	TTTY7
8550518	8713825	Y	LINC00279
11314921	11316187	Y	DUX4L17
22490397	22514637	Y	PRY
9869664	9870781	Y	TSPY18P
22646031	22646327	Y	
10173853	10174207	Y	PCMTD1P1
7905536	7907303	Y	
22537047	22537849	Y	HSFY7P
11473727	11474237	Y	
8350931	8352143	Y	ZNF736P6Y
5887504	5888740	Y	TUSC2P1
21927521	21937150	Y	RBMY2AP
6406244	6462091	Y	TTTY2B
9717653	9721296	Y	TTTY21
15348662	15456074	Y	PUDPP1
7690511	7692678	Y	
11085476	11086061	Y	CDRT15P10
12537650	12860839	Y	USP9Y
9166085	9167702	Y	CDY3P
22071756	22096007	Y	PRY2
9624183	9626352	Y	TSPY25P
7678899	7681028	Y	
21972313	22005349	Y	OFD1P8Y
3777997	3779546	Y	RNF19BPY
21895394	21897559	Y	
22183850	22186021	Y	TSPY23P
17516836	17519038	Y	TUBB1P2
10171590	10172725	Y	DUX4L31
9905595	9908139	Y	TSPY13P
7656968	7657352	Y	
11395699	11397076	Y	ACTR3BP1
12244752	12245457	Y	RPS24P1
6390431	6411564	Y	TTTY1B
19986575	19987852	Y	RCC2P2
7913422	7914090	Y	ZNF736P8Y
9951553	9959423	Y	RBMY2OP
20575776	20593154	Y	EIF1AY
6303957	6305074	Y	TSPY19P
22973819	23005465	Y	BPY2
11445418	11445564	Y	MTND1P12
15547216	15593331	Y	STSP1
9813315	9817513	Y	
56855244	56855488	Y	CTBP2P1
8363536	8363959	Y	MTND6P1
6158802	6159265	Y	DLGAP5P1
10190377	10192298	Y	CDC27P2
6470773	6473630	Y	TTTY8B
11335627	11337693	Y	PABPC1P5
22305925	22307951	Y	TSPY22P
11781052	11782527	Y	RCC2P1
12537773	12544883	Y	SHROOM2P1
9740584	9758476	Y	TTTY2
21940012	21941593	Y	
9183694	9185803	Y	USP9YP22
8682594	8700977	Y	TTTY18
12661309	12663478	Y	
11107065	11107263	Y	
11321557	11322823	Y	DUX4L18
9640249	9640716	Y	TSPY16P
6492976	6496757	Y	
16599730	16644539	Y	
6328052	6343323	Y	RBMY2GP
22866544	22867756	Y	ZNF736P11Y
22580989	22614081	Y	OFD1P9Y
10197256	10199103	Y	
7932997	7937640	Y	BPY2DP
8127130	8144203	Y	RBMY2JP
11412548	11418716	Y	CHEK2P1
9665229	9669010	Y	
22198429	22203712	Y	RBMY2UP
17552800	17579754	Y	FAM224B
20001185	20012204	Y	ZNF886P
22517242	22517573	Y	ELOCP8
21817579	21818218	Y	OFD1P16Y
22330452	22332500	Y	TTTY25P
9544917	9547147	Y	FAM197Y1
8931069	8931454	Y	
22100814	22147484	Y	
11922536	11923769	Y	ASS1P6
11178306	11178816	Y	SNX18P1Y
9831418	9846696	Y	RBMY2NP
9753156	9774289	Y	TTTY1
21918935	21921106	Y	
9189629	9204611	Y	USP9YP4
12618983	12634402	Y	MED14P1
22048554	22049347	Y	HSFY5P
20390051	20396796	Y	ZNF885P
12252321	12258033	Y	ARSFP1
11445708	11446101	Y	
7990987	7991806	Y	ZNF736P7Y
17192826	17193652	Y	SURF6P1
12440046	12507369	Y	XGY1
11144250	11144492	Y	
3786282	3864893	Y	
11173618	11173821	Y	ANKRD20A6P
6306042	6308202	Y	
7845485	7846454	Y	
9691100	9693957	Y	TTTY8
8264449	8277188	Y	RBMY2KP
22400403	22402568	Y	TSPY21P
8704472	8705283	Y	TTTY19
6520463	6520929	Y	TSPY17P
22936455	22973284	Y	TTTY4
8971751	8974095	Y	
9548108	9550681	Y	TSPY15P
9230915	9231247	Y	ELOCP4
9784372	9833895	Y	TTTY22
6266593	6269275	Y	TSPY11P
9868462	9868702	Y	
11957208	11987386	Y	MXRA5Y
11306918	11308181	Y	DUX4L16
9527880	9530682	Y	TSPY10
17234	19833	KI270728.1	
8364032	8365150	Y	MTCYBP1
1139577	1147868	KI270728.1	
11107389	11107596	Y	
22049755	22058113	Y	USP9YP17
22851584	22852715	Y	TTTY17A
3293808	3294826	Y	AGPAT5P1
3851224	3852869	Y	
10036195	10038375	Y	TSPY20P
17500958	17515018	Y	FAM41AY1
22144966	22146831	Y	TTTY6B
22068820	22069151	Y	ELOCP15
11042722	11042943	Y	
8413037	8414054	Y	TRIM60P3Y
8371663	8372030	Y	MTND1P1
6357219	6369921	Y	LINC00280
19932130	19932500	Y	
3549652	3549810	Y	PRRC2CP1
8418791	8419900	Y	ZNF736P10Y
6273579	6274065	Y	
22861112	22861834	Y	
9466955	9469749	Y	TSPY1
22064698	22065712	Y	CDY12P
17514502	17516715	Y	
8372241	8372710	Y	MTND2P3
22520681	22521695	Y	CDY13P
22209331	22216580	Y	RBMY1KP
11107719	11107887	Y	
6443434	6450685	Y	TTTY21B
14276212	14277489	Y	
8901203	8903276	Y	
22670616	22672859	Y	
21825441	21846721	Y	
933862	936467	KI270728.1	
12354096	12387328	Y	ARSDP1
22296798	22298876	Y	TTTY5
12801973	12803830	Y	CDY4P
22438940	22485592	Y	
1109945	1110235	KI270728.1	
137798	139135	KI270728.1	
1270984	1271271	KI270728.1	
21880076	21894526	Y	RBMY1D
22762851	22769787	Y	RBMY2WP
22528281	22536639	Y	USP9YP24
21871331	21873550	Y	
20464916	20575519	Y	TTTY10
3866306	3866722	Y	UBE2V1P3
12321623	12322835	Y	FAM8A4P
4036497	4100320	Y	
23017063	23017821	Y	
23025594	23026663	Y	TRIM60P8Y
14907898	14908068	Y	MED13P1
9507596	9510175	Y	TSPY6P
14941547	14941750	Y	CYCSP46
4174985	4175090	Y	RNU6-303P
10090410	10090528	Y	RNA5SP518
16138248	16138379	Y	
12273473	12273764	Y	RN7SL702P
17557864	17557976	Y	RNA5SP520
17559774	17559889	Y	RNA5SP521
17568962	17569051	Y	
16248935	16249041	Y	RNU6-109P
10200155	10200306	Y	RNA5-8SP6
10092875	10092993	Y	RNA5SP519
16336283	16336389	Y	RNU6-184P
18731440	18773735	Y	HSFY2
18741843	18741986	Y	GPM6BP2
18776279	18779427	Y	USP9YP2
18787750	18788080	Y	ELOCP14
18790709	18791051	Y	PRYP6
18811338	18811829	Y	XKRYP2
18826107	18829487	Y	USP9YP10
18833002	18839313	Y	USP9YP28
18833729	18833890	Y	RNU1-41P
18848264	18867280	Y	OFD1P7Y
18872102	18872272	Y	MTCYBP2
18985175	18986398	Y	ZNF839P1
18992467	18992709	Y	CD24P4
19018983	19019087	Y	RNU6-255P
19253960	19260875	Y	
19327569	19328573	Y	GAPDHP19
17621259	17625832	Y	CLUHP1
17628513	17629402	Y	TAF9P1
17705968	17708185	Y	
17721598	17723177	Y	CDY5P
17726752	17727080	Y	ELOCP36
17729528	17744596	Y	PRYP1
17757001	17758125	Y	ACTG1P2
17782210	17784815	Y	USP9YP23
17788315	17789484	Y	USP9YP27
17789003	17789162	Y	RNU1-128P
17797983	17800696	Y	TRAPPC2P3
17809807	17825329	Y	OFD1P1Y
17837201	17837528	Y	ELOCP6
17882099	17883708	Y	CDY6P
17908755	17910806	Y	USP9YP7
17912699	17921630	Y	USP9YP6
17951589	17953500	Y	CDY7P
17984349	17993260	Y	USP9YP34
17995201	17997252	Y	USP9YP32
18022299	18023908	Y	CDY8P
18068483	18068810	Y	ELOCP12
18105314	18108102	Y	TRAPPC2P8
18116527	18117695	Y	USP9YP15
18116848	18117007	Y	RNU1-95P
18121195	18123799	Y	USP9YP16
18147884	18149008	Y	ACTG1P11
18161366	18176484	Y	PRYP2
18178932	18179260	Y	ELOCP26
18182835	18184414	Y	CDY9P
18276607	18277495	Y	TAF9P2
18280178	18284761	Y	CLUHP2
18326253	18353210	Y	FAM224A
18336960	18337049	Y	
18346123	18346238	Y	RNA5SP522
18348035	18348147	Y	RNA5SP523
18386974	18389151	Y	TUBB1P1
18390994	18405046	Y	FAM41AY2
18440797	18441125	Y	ELOCP13
18453150	18472137	Y	OFD1P4Y
18481087	18487400	Y	USP9YP14
18486511	18486672	Y	RNU1-48P
18490915	18494295	Y	USP9YP5
18491740	18547698	Y	
18508577	18509068	Y	XKRYP1
18529358	18529623	Y	PRYP5
18532326	18532656	Y	ELOCP7
18540980	18544128	Y	USP9YP1
18578417	18578560	Y	GPM6BP1
18581206	18590521	Y	TTTY9B
18649671	18650279	Y	RAB9AP4
18655520	18656190	Y	TRAPPC2P7
18772706	19077416	Y	TTTY14
19598188	19598757	Y	
19691941	19694606	Y	
19744756	19759978	Y	
19703865	19744939	Y	KDM5D
316737	500722	18	COLEC12
9310522	9334445	18	TWSG1-DT
5081171	5098780	18	LINC01892
6728821	6729862	18	ARHGAP28-AS1
10297299	10323565	18	
5463627	5480975	18	
11454478	11465996	18	LINC01928
5240255	5241167	18	
1159198	1160404	18	SLC25A3P3
9102736	9254346	18	
7741310	7754831	18	
18546691	18588963	Y	HSFY1
6394847	6398020	18	
5236724	5238598	18	LINC00526
5002759	5003254	18	PPIAP14
6641971	6642478	18	
6493420	6495668	18	
11981025	12030877	18	IMPA2
3579067	3580041	Y	TGIF2LY
22168542	22182982	Y	RBMY1F
15611759	15613096	22	NEK2P2
15854195	15855243	22	TOMM40P2
16590751	16592810	22	CCT8L2
15298378	15304556	22	
16921443	16922173	22	IGKV2OR22-3
16654066	16675540	22	ANKRD62P1-PARP4P3
16857619	16860718	22	ZNF402P
16572027	16574637	22	
16595089	16595485	22	FABP5P11
16503304	16509475	22	CHEK2P4
11124337	11125705	22	ACTR3BP7
15290718	15297196	22	
16904219	16904696	22	IGKV1OR22-5
16601911	16615111	22	
16387694	16390887	22	ABCD1P4
16844399	16846357	22	
16645695	16646581	22	SLC25A15P5
16423943	16426031	22	PABPC1P9
15823197	15823890	22	
16876552	16876902	22	
16746628	16748645	22	LINC01665
11474744	11479643	22	
15615402	15615578	22	
15349467	15350043	22	BNIP3P2
16671090	16679493	22	ANKRD62P1
15326037	15343065	22	ZNF72P
15635180	15644330	22	MED15P7
15901791	15901911	22	
15852990	15893942	22	NBEAP3
5159332	5171026	18	
16869478	16871126	22	
962592	976883	18	
8412129	8414304	18	COP1P1
12602466	12626642	22	FRG1GP
10321380	10372387	18	
16925952	16926444	22	IGKV3OR22-2
16521059	16527237	22	
15159724	15164467	18	
16616170	16617114	22	
9708275	9862551	18	RAB31
15282557	15288670	22	
16914235	16914981	22	IGKV2OR22-4
16653892	16659628	22	PARP4P3
16837522	16837666	22	GPM6BP3
16428947	16476870	22	SLC9B1P4
15826566	15827187	22	DUXAP8
15600908	15604882	22	
16897445	16897546	22	
16405330	16405417	22	
18025787	18027746	Y	CDY2A
16876218	16876421	22	MTND1P17
23049247	23051195	Y	ZNF736P3Y
23058030	23059186	Y	TRIM60P9Y
15622601	15632051	22	NF1P6
7273972	7381548	Y	PRKY
16855804	16856162	22	
16676016	16694648	22	
17012404	17012932	22	
11066418	11068174	22	
15914721	15915800	22	
16953895	16956808	22	
16592895	16600110	22	
7324297	7324595	Y	RN7SKP282
7341531	7341642	Y	Y_RNA
16933521	16934003	22	IGKV1OR22-1
7378672	7378779	Y	RNU6-941P
22785643	22787268	22	
7423054	7423158	Y	RNU6-521P
6718962	6719180	Y	SRIP3
6789153	6789344	Y	
6837707	6838252	Y	GOT2P5
6900753	6901372	Y	ATP5PFP1
6918682	6920791	Y	
24659337	24660406	Y	TRIM60P10Y
24683657	24684935	Y	ZNF736P2Y
20495913	20587632	22	MED15
24691791	24692932	Y	TRIM60P11Y
24977176	24978317	Y	
24985201	24986476	Y	ZNF736P1Y
25009700	25010769	Y	
25018499	25019303	Y	ZNF736P5Y
25030901	25062548	Y	BPY2C
22900486	22900995	18	UBE2CP2
1254383	1408344	18	LINC00470
25063083	25099892	Y	TTTY4C
24833843	24907040	Y	DAZ4
23257164	23260354	18	
10375103	10378114	18	
5567130	5570942	18	
25200976	25202837	18	
9785108	9787805	18	ZNF415P1
423744	424416	18	
24113637	24121003	18	
31966960	31967545	18	
1176790	1177012	18	COX6CP3
8402847	8405161	18	
27454466	27469673	18	
9259388	9260390	18	
11993988	11994938	18	
11390033	11390729	18	
36901946	36923814	18	
10405133	10414515	18	LINC01254
1655177	1779955	18	
721588	812546	18	YES1
35317396	35317848	18	
5197165	5215497	18	
22586465	22587227	18	RPS4XP18
22723491	22907721	18	
35144942	35145417	18	
37234119	37236242	18	
34976928	35143470	18	MAPRE2
24689914	24690161	18	PPIAP57
29518259	29548241	18	
15165338	15172007	18	
9615264	9619363	18	PPP4R1-AS1
5132749	5133229	18	BOD1P2
25302126	25302960	18	
17878260	17880220	Y	CDY2B
9506242	9509726	18	
1509022	2049510	18	
2784749	2784853	Y	RNU6-1334P
2786855	2787682	Y	SRY
2789827	2790328	Y	RNASEH2CP1
2827982	2828218	Y	TOMM22P2
2828192	2840851	Y	
2841602	2932000	Y	RPS4Y1
26266009	26267409	18	
8012257	8016565	18	
35483431	35483667	18	
32672673	32773023	18	KLHL14
10939388	10961338	22	FRG1FP
16690103	16704477	22	VWFP1
2929001	2931120	Y	NAP1L1P2
2934406	2934771	Y	
2935281	2982506	Y	ZFY
34225930	34226429	18	
44280768	44579953	18	LINC01478
22771824	22772582	22	IGLV3-12
26161905	26169341	22	
22792491	22793007	22	IGLV2-11
16725072	16747761	22	
27102766	27107019	22	
30693782	30907824	22	OSBP2
45483343	45529855	18	
26421139	26438041	18	LINC01543
2966844	3002626	Y	ZFY-AS1
7814118	7815730	18	
26542971	26545791	18	
2995067	2995273	Y	EEF1A1P41
13286638	13287378	Y	PSMA6P1
15247429	15247997	18	BNIP3P3
13083790	13095805	Y	SFPQP1
13230884	13231439	Y	DPPA2P1
6784614	6796503	18	
24159509	24162211	18	
12904108	12920478	Y	DDX3Y
9734882	9735602	18	
3284120	3330984	18	
22347846	22348252	18	
31962178	31963618	18	PGDP1
24364787	24367984	18	
26655737	27190698	18	AQP4-AS1
29629842	29650440	18	
9102630	9134345	18	NDUFV2
12930165	12948182	Y	CASKP1
13234577	13480673	Y	UTY
11882622	11908366	18	MPPE1
27044001	27045315	22	
27436292	27441774	22	
31452881	31464304	22	
22774529	22774691	22	
17021398	17022570	22	VN1R9P
31521199	31521592	22	H2AZP6
27048144	27061247	22	
30239194	30240538	22	LIF-AS1
34641179	34651862	22	
32507820	33058381	22	SYN3
27457247	27460060	22	
30105094	30105408	22	RPL36P17
25876854	25903247	22	MYO18B-AS1
31890344	31891434	22	
23322543	23322927	22	
26858634	26968763	22	LINC01422
6446723	6528459	20	CASC20
30262829	30266851	22	OSM
1540144	1620009	20	
8248704	8256918	20	PLCB1-IT1
4220630	4249287	20	ADRA1D
26903292	26920935	22	
958452	1002311	20	RSPO4
31399604	31530634	22	DRG1
227258	229886	20	DEFB129
869900	916334	20	ANGPT4
23957754	23982556	18	LINC02958
37243040	37565827	18	CELF4
13703899	13706024	Y	TMSB4Y
11536406	11541647	20	
1767957	1779995	20	
13985772	13986473	Y	VCY
1629152	1657779	20	SIRPG
24763069	24813492	Y	DAZ3
28992721	29018620	22	ZNRF3-IT1
27204211	27205126	22	
27143478	27159878	22	
34703126	34704885	22	
30080464	30177075	22	HORMAD2
2107900	2109991	20	
1888128	1894374	20	
17479085	17479431	20	DYNLT3P1
16714844	16730948	20	
5750393	5864395	20	SHLD1
7347451	7367933	20	LINC01706
23129355	23199010	Y	DAZ1
7977346	8019805	20	TMX4
32474676	32498829	22	FBXO7
10435305	10636829	20	SLX4IP
18782424	18783690	20	EEF1A1P34
87250	97094	20	DEFB125
7831798	7832322	20	
21511017	21514064	20	NKX2-2
11001304	11001763	20	
6767686	6780246	20	BMP2
17887363	17888160	20	
1978757	1994285	20	PDYN
23379484	23392697	Y	PPP1R12BP2
23423099	23423236	Y	SNORA70
23435905	23436006	Y	
23462465	23472280	Y	REREP1Y
23523321	23525369	Y	
23537308	23546942	Y	RBMY2CP
23549809	23551385	Y	
6865918	6911752	Y	AMELY
36860988	36878017	22	NCF4
6910686	7101970	Y	TBL1Y
7146467	7254202	20	LINC01428
11566484	11581335	20	
833715	857463	20	FAM110A
20368104	20370949	20	INSM1
1633508	1648472	20	SIRPG-AS1
11608436	11609048	20	
187853	189711	20	DEFB128
6731080	6736326	20	LINC01713
4422186	4431732	20	
11909404	11918677	20	BTBD3-AS1
10612861	10614229	20	
2664352	2665874	20	IDH3B-DT
11234170	11301525	20	
5013520	5013724	20	
2194074	2201329	20	
17216779	17221913	20	
22343693	22343930	20	
18809728	18830153	20	SCP2D1-AS1
142590	145751	20	DEFB126
2207217	2213151	20	
11890723	11926609	20	BTBD3
7100733	7106502	Y	GPR143P
23219447	23291356	Y	DAZ2
34589085	34591278	22	
26672747	26780893	22	MIATNB
31982899	31986087	18	
22200619	22205229	18	
10406558	10422360	18	
5142911	5197503	18	AKAIN1
45212995	45683688	18	SLC14A2
31970823	32037995	22	LINC02558
31488688	31618588	22	SFI1
976589	1310018	18	
37473330	37473977	18	
9475009	9538114	18	RALBP1
21395365	21397526	20	NKX2-4
2075555	2075822	20	RPL7P2
20659710	20659964	20	EIF4E2P1
5068232	5113103	20	TMEM230
32511663	32514634	18	WBP11P1
8406761	8406953	18	
5232876	5238526	18	
26016253	26091217	18	SS18
6246223	6249019	Y	TSPY2
17226107	17484578	20	PCSK2
9311130	9322869	Y	RBMY1A3P
9325799	9326047	Y	
9329880	9334832	Y	TTTY20
9347511	9356814	Y	FAM197Y8
9357797	9360599	Y	TSPY8
9367803	9375681	Y	FAM197Y7
9375129	9377121	Y	
9378122	9380871	Y	TSPY7P
9388122	9396027	Y	FAM197Y6
9395475	9397467	Y	
9398421	9401223	Y	TSPY3
5049857	5050321	20	
21397740	21400391	20	
2481817	2524702	20	ZNF343
14639096	14640358	Y	AGKP1
14793642	14804033	Y	NLGN4Y-AS1
21903618	21918042	Y	RBMY1E
7867327	7867614	20	
12380056	12381255	20	PA2G4P2
21511447	21512309	20	NKX2-2-AS1
23491101	23496010	20	CST8
13221274	13300651	20	ISM1
14522573	14845654	Y	NLGN4Y
23875934	23879748	20	CST5
1722045	1722537	20	
7069614	7146656	20	
23798092	23805983	20	
16684108	16684404	20	RPL7AP13
13073667	13074312	20	
5045761	5046276	20	
11621051	11621477	20	PGAM3P
10696949	10754033	20	LINC01752
19000709	19056796	20	
18567453	18744216	20	
24469629	24666616	20	SYNDIG1
22054074	22074654	20	LINC01432
11345383	11345855	20	RPS11P1
7882985	7940458	20	HAO1
18418775	18419273	14	BNIP3P6
18560047	18560191	14	
18588274	18588315	14	
18698639	18699978	14	
18645044	18646221	14	
18667249	18667370	14	
18562928	18568790	14	
18555677	18596310	14	
18702281	18702463	14	
2206683	2207397	20	
18645991	18646503	14	
7302056	7307432	20	LINC01751
3002887	3200509	Y	LINC00278
18692032	18692408	14	RPL22P20
5061037	5061340	20	
17222851	17226146	20	
19268853	19337730	14	DUXAP10
21303331	21389825	20	XRN2
25813013	25814566	Y	CDY22P
25860943	25861268	Y	ELOCP17
25871931	25898653	Y	OFD1P18Y
25904518	25907250	Y	TRAPPC2P4
25918323	25918895	Y	RAB9AP3
25923388	25929826	Y	USP9YP20
25928979	25929142	Y	RNU1-40P
25933833	25935881	Y	USP9YP21
25943268	25954152	Y	XKRYP6
25975549	25988069	Y	PRYP4
22450089	22450139	14	TRDJ1
25991241	25991572	Y	ELOCP11
25994684	25995697	Y	CDY23P
26002254	26008856	Y	USP9YP26
26011435	26012237	Y	HSFY8P
26055779	26088493	Y	OFD1P15Y
22422371	22423042	14	TRDV2
26123674	26133308	Y	RBMY2DP
18634955	18637208	14	
22476306	22476362	14	TRAJ60
18395626	18412264	14	
26198331	26208148	Y	REREP2Y
26234610	26234711	Y	
26244351	26244573	Y	
26247384	26247521	Y	SNORA70
26277923	26354418	Y	PPP1R12BP1
22438547	22438554	14	TRDD1
22482287	22482346	14	TRAJ54
26360989	26361092	Y	RNU6-1314P
26400611	26401230	Y	CYCSP48
26409815	26420535	Y	ANKRD36P1
22489488	22489543	14	TRAJ49
26453982	26454092	Y	
14056227	14056958	Y	VCY1B
22459098	22459156	14	TRDJ3
22449113	22449125	14	TRDD3
26443090	26598033	14	NOVA1
31538352	31538589	22	
27563839	27573573	22	
14081075	14086600	Y	PNPLA4P1
14101588	14101723	Y	
18080681	18096202	Y	OFD1P2Y
18582063	18629077	Y	OFD1P5Y
39570753	39689735	22	CACNA1I
20725331	20734526	Y	
20727254	20742900	Y	TBL1YP1
20756108	20781032	Y	RPS4Y2
20808776	20811809	Y	HSFY4P
20843256	20843710	Y	
20861337	20862337	Y	GAPDHP17
20907344	20907562	Y	TMEM167AP1
21038289	21044724	Y	
21130870	21131181	Y	TOMM22P1
21138633	21257832	Y	
21221106	21222089	Y	NEFLP1
21311268	21318895	Y	
21382954	21386360	Y	PRORY
21405770	21405995	Y	
21424028	21456216	Y	
21430697	21437245	Y	RBMY2TP
21468158	21470683	Y	TSPY14P
21493519	21501968	Y	RBMY1HP
21508299	21510470	Y	
21531839	21534011	Y	
21565092	21605081	Y	TTTY13
21631683	21632015	Y	ELOCP5
21637475	21639041	Y	CDY10P
21661926	21674008	Y	USP9YP3
21677246	21681118	Y	USP9YP8
21696570	21698220	Y	CDY11P
23657839	23659058	Y	HSFY6P
23659466	23667822	Y	USP9YP18
23674379	23675392	Y	CDY14P
23678504	23678835	Y	ELOCP16
23715922	23726808	Y	XKRYP3
23734193	23736249	Y	USP9YP25
23740258	23746693	Y	USP9YP29
23740942	23741105	Y	RNU1-97P
23751188	23751760	Y	RAB9AP1
23762838	23765583	Y	TRAPPC2P9
23771232	23798150	Y	OFD1P11Y
23682007	23694527	Y	PRYP3
2207328	2341059	20	
4993858	4999650	Y	
1665283	1708200	20	SIRPB3P
48478282	48478491	18	
22371216	22471557	20	
47878295	47882444	18	
5019076	5019266	Y	RNU2-57P
5207215	5208069	Y	VDAC1P6
5337745	5338964	Y	EIF4A1P2
6954677	6957419	18	
5573145	5574431	Y	KRT18P10
5634480	5634655	Y	SNX3P1Y
5793300	5793737	Y	RPL26P37
21530122	21535665	20	
5000226	5742224	Y	PCDH11Y
35595901	35597599	18	
16729961	16742564	20	SNRPB2
47630112	47630848	18	TPMTP1
51845007	51845628	18	RPS8P3
27335968	27595164	18	
48564795	48568342	18	
22490491	22490553	14	TRAJ48
23994213	24015339	18	TTC39C-AS1
22476553	22476606	14	TRAJ59
22332922	22334685	14	
41789162	41789395	18	NPM1P1
18636043	18637421	14	
6727053	6728981	18	
22475316	22475375	14	TRAJ61
1780329	1782064	18	
22462932	22465787	14	TRDC
8360820	8367034	18	
35951803	35966118	18	
22477707	22477769	14	TRAJ58
22455249	22455296	14	TRDJ4
9136228	9285985	18	ANKRD12
34556774	34561298	14	
23581595	23614640	Y	OFD1P10Y
23808821	23809059	Y	ELOCP9
23855522	23857091	Y	CDY15P
23917241	23917723	Y	XKRYP4
23919905	23921510	Y	USP9YP13
23934953	23940101	Y	USP9YP11
32074946	32076793	14	ARHGAP5-AS1
23936727	23941622	Y	TTTY3B
23945927	23952293	Y	USP9YP12
23946618	23946771	Y	RNU1-86P
23956569	23960218	Y	RAB9AP5
23967564	23970694	Y	TRAPPC2P10
26809340	26836458	14	LINC02293
23972780	23995081	Y	OFD1P12Y
24006911	24007237	Y	ELOCP10
24045229	24048019	Y	CDY1B
24049878	24051487	Y	CDY17P
26132887	26134198	20	
24077799	24079812	Y	USP9YP35
24081704	24090346	Y	USP9YP31
22492851	22492907	14	TRAJ47
12865202	12952519	20	LINC01722
24104107	24106018	Y	CDY18P
22456689	22456742	14	TRDJ2
24142358	24157843	Y	
30437992	30573629	14	G2E3-AS1
24168187	24174494	Y	GOLGA6L11P
12936262	12940902	20	
24179316	24183505	Y	DNM1P24
23980585	23980734	20	
24182477	24183071	Y	
13392677	13393674	20	GAPDHP2
24183434	24187231	Y	CSPG4P2Y
29321310	29321666	20	PCMTD1P7
21499261	21502934	20	
24186509	24191870	Y	CSPG4P3Y
22479521	22479582	14	TRAJ56
24949269	24959928	20	CST7
24196518	24206132	Y	
32271857	32272301	14	KIAA1143P1
24210958	24211216	Y	RN7SL818P
24232826	24238984	Y	UBE2Q2P4Y
24276245	24277026	Y	LINC00265-2P
24278337	24281140	Y	CICP2
24283062	24283230	Y	SEPTIN14P22
32200433	32201736	14	
24362335	24362409	Y	
24396604	24403526	Y	RBMY2XP
31558507	31561334	14	NUBPL-DT
24485332	24486463	Y	TTTY17B
26775495	26822107	14	LINC02294
24494709	24495583	Y	TRIM60P5Y
24500263	24501505	Y	ZNF736P12Y
24570202	24607025	Y	TTTY4B
31420286	31452883	14	HEATR5A-DT
24607560	24639207	Y	BPY2B
31489956	31861224	14	NUBPL
25139652	25149372	20	
24650808	24651534	Y	
